,order_id,,,order_date,customer_id,customer_ref,customer_name,customer_email,sku,product_name,quantity,unit_price,order_value,weight,dispatch_date,delivery_date,oms_status,delivery_status,courier_partner,courier_ref,awb,payment_mode,payment_status,delivery_pincode,delivery_city,delivery_state,last_updated
1,SAJ-2606-10013,TRUE,,19/06/26,CUS-0111,CUS-0111,Arjun Naik,arjun.naik11@example.com,TRAY-BMB-M,Bamboo Serving Tray,2,999,1998,1.44,06/20/2026,23/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400014,COD,Collected,700001,Kolkata,West Bengal,23/06/26 17:06
1,SAJ-2606-10014,TRUE,,13/06/26,CUS-0128,CUS-0128,Meera Menon,meera.menon28@example.com,BAG-CNV-OL,Canvas Tote Olive,1,549,549,240,15/06/26,06/20/2026,Fulfilled,Delivered,ParcelNest,Parcel Nest,AW682400015,Card,Paid,751001,Bhubaneswar,Odisha,20/06/26 11:48
1,SAJ-2606-10015,TRUE,,16/06/26,CUS-0145,cus-0145,Varun Nair,varun.nair45@example.com,TWL-2P-NT,Cotton Hand Towel Pair,2,449,898,0.56,18/06/26,N/A,Returned,RTO,ParcelNest,ParcelNest,AW682400016,COD,Pending,600001,Chennai,tamil nadu,24/06/26 9:12
1,SAJ-2606-10016,FALSE,22/06/26,06/22/2026,CUS-0162,CUS-0162,Pooja Sinha,pooja.sinha62@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,1899,1.1,24/06/26,28/06/26,Fulfilled,Delivered,DakTrail,DakTrail,AW682400017,UPI,Paid,452001,Indore,Madhya Pradesh,28/06/26 11:48
2,SAJ-2606-10017,FALSE,13/06/26,06/13/2026,CUS-0107,CUS-0107, ROHAN SETHI ,rohan.sethi7@example.com,LCH-900-IV,Lunch Box 900ml,3,899,2697,1.92,06/15/2026,20/06/26,Fulfilled,Delivered,MileMitra,MileMitra,AW682400018,UPI,Paid,682001,KOCHI,Kerala,20/06/26 11:48
2,SAJ-2606-10017,TRUE,,13/06/26,CUS-0124,CUS-0124,Mitali Mishra,mitali.mishra24@example.com,BAG-CNV-OL,Canvas Tote Olive,3,INR 549,1647,0.72,06/15/2026,06/19/2026,Fulfilled,Delivered,RouteKart,RouteKart,AW682400019,COD,Collected,400001,Mumbai,Maharashtra,19/06/26 11:48
1,SAJ-2606-10018,TRUE,,15/06/26,CUS-0141,CUS-0141,Neel Saxena,neel.saxena41@example.com,PCH-TRV-BL,Travel Pouch Blue,1,399,399,180,16/06/26,06/19/2026,Fulfilled,Delivered,DakTrail,DakTrail,AW682400020,upi,Paid,302001, Jaipur  ,Rajasthan,19/06/26 11:48
1,SAJ-2606-10019,TRUE,,24/06/26,CUS-0102,CUS-0102,Diya Das,diya.das2@example.com,LCH-900-IV,Lunch Box 900ml,2,899,1798,1.28,26/06/26,29/06/26,Shipped,Delivered,RouteKart,RouteKart,AW682400005,UPI,Paid,380001,Ahmedabad,Gujarat,30/06/26 10:40
1,SAJ-2606-10020,FALSE,17/06/26,06/17/2026,CUS-0158,CUS-0158,Nisha Iyer,nisha.iyer58@example.com,mat-yg-st ,Yoga Mat Stone,2,1499,"₹2,998 ",1700,18/06/26,22/06/26,Fulfilled,Delivered,ParcelNest,ParcelNest,AW682400021,UPI,Paid,122001,Gurugram,Haryana,22/06/26 17:06
1,SAJ-2606-10021,TRUE,,21/06/26,CUS-0103,CUS-0103,Kabir Khanna,kabir.khanna3@example.com,TWL-2P-NT,Cotton Hand Towel Pair,2,449,898,0.56,06/22/2026,27/06/26,Fulfilled,Delivered,DakTrail,DakTrail,AW682400022,UPI,Paid,641001,Coimbatore,Tamil Nadu,27/06/26 9:12
1,SAJ-2606-10022,TRUE,,15/06/26,CUS-0120,CUS-0120,Ira Das,ira.das20@example.com,FLK-500-CL,Travel Flask 500ml,3,1099,3297,1.68,17/06/26,06/20/2026,Fulfilled,delivered ,DakTrail,DakTrail,AW682400023,UPI,Paid,411001,Puna,maharashtra,20/06/26 17:06
1,SAJ-2606-10023,TRUE,,20/06/26,CUS-0137,CUS-0137,Aditya Rao,aditya.rao37@example.com,TWL-2P-NT,Cotton Hand Towel Pair,1,449,449,280,21/06/26,26/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400024,UPI,Paid,160017,Chandigarh,Chandigarh,26/06/26 17:06
1,SAJ-2606-10024,FALSE,27/06/26,06/27/2026,CUS-0154,CUS-0154,Ananya Jain,ananya.jain54@example.com,MUG-2P-SD,Ceramic Mug Pair,1,699,INR 699.00,0.92,28/06/26,-,Shipped,In Transit,MileMitra,MileMitra,AW682400025,Net Banking,Paid,500001,Hyderabad,Telangana,30/06/26 11:48
1,SAJ-2606-10025,FALSE,20/06/26,06/20/2026,CUS-0171,CUS-0171,Ritvik Sethi,ritvik.sethi71@example.com,PCH-TRV-BL,Travel Pouch Blue,3,399,1197,0.54,06/22/2026,25/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400026,Net Banking,Paid,682001,KOCHI,Kerala,25/06/26 11:48
2,SAJ-2606-10026,TRUE,,16/06/26,CUS-0116,CUS-0116,Riya Sinha,riya.sinha16@example.com,TWL-2P-NT,Cotton Hand Towel Pair,2,449,898,0.56,06/17/2026,06/20/2026,Fulfilled,Delivered,DakTrail,DakTrail,AW682400027,COD,Collected,226001,Lucknow,Uttar Pradesh,20/06/26 19:22
2,SAJ-2606-10026,TRUE,,20/06/26,CUS-0133,CUS-0133,Vivaan Bose,vivaan.bose33@example.com,MAT-YG-ST,Yoga Mat Stone,1,1499,1499,0.85,22/06/26,06/24/2026,Fulfilled,Delivered,RouteKart,RouteKart,AW682400028,UPI,paid ,560001,"Bangalore,Karnataka",,24/06/26 17:06
1,SAJ-2606-10027,TRUE,,16/06/26,CUS-0150,CUS-0150,Diya Nair,diya.nair50@example.com,FLK-500-CL,Travel Flask 500ml,1,1099,1099,560,17/06/26,N/A,Returned,RTO,DakTrail,DAK TRAIL,AW682400029,UPI,Refunded,380001, Ahmedabad  ,Gujarat,23/06/26 11:48
1,SAJ-2606-10028,FALSE,14/06/26,06/14/2026,CUS-0167,CUS-0167,Kunal Khanna, KUNAL.KHANNA67@EXAMPLE.COM ,LCH-900-IV,Lunch Box 900ml,1,899,899,0.64,16/06/26,20/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400030,Card,Paid,641001,Coimbatore,Tamil Nadu,20/06/26 9:12
1,SAJ-2606-10029,TRUE,,14/06/26,CUS-0112,cus-0112,Tara Iyer,NULL,FLK-500-CL,Travel Flask 500ml,3,1099,3297,1.68,06/16/2026,20/06/26,Fulfilled,Delivered,MileMitra,MileMitra,AW682400031,UPI,Paid,751001,Bhubaneswar,odisha,20/06/26 9:12
1,SAJ-2606-10030,TRUE,,18/06/26,CUS-0129,CUS-0129,Ishaan Mishra,ishaan.mishra29@example.com,CND-180-AM,Amber Candle 180g,1,649,₹649 ,450,19/06/26,06/24/2026,Fulfilled,Delivered,DakTrail,DakTrail,AW682400032,Net Banking,Paid,600001,Chennai,Tamil Nadu,24/06/26 19:22
1,SAJ-2606-10031,TRUE,,26/06/26,CUS-0146,CUS-0146,Aditi Menon,aditi.menon46@example.com,BTL-750-SG,Steel Bottle 750ml,1,799,799,0.42,28/06/26,01/01/00,Shipped,In Transit,ParcelNest,ParcelNest,AW682400033,COD,Pending,452001,Indore,Madhya Pradesh,30/06/26 19:22
1,SAJ-2606-10032,FALSE,16/06/26,06/16/2026,CUS-0163,CUS-0163,Dev Shah,dev.shah63@example.com,JAR-3P-CL,Glass Spice Jar Trio,1,1199,1199,1250,17/06/26,19/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400034,COD,Collected,110001,New Delhi,Delhi,19/06/26 11:48
1,SAJ-2606-10033,FALSE,26/06/26,06/26/2026,CUS-0108,CUS-0108, KAVYA JAIN ,kavya.jain8@example.com,MUG-2P-SD,Ceramic Mug Pair,3,699,2097,2.76,06/27/2026,-,Shipped,IN TRANSIT,RouteKart,RouteKart,AW682400035,COD,Pending,400001,MUMBAI,Maharastra,30/06/26 14:35
1,SAJ-2606-10034,TRUE,,22/06/26,CUS-0125,CUS-0125,Aarav Das,aarav.das25@example.com,MAT-YG-ST,Yoga Mat Stone,1,1499,1499,0.85,06/23/2026,06/25/2026,Fulfilled,Delivered,MileMitra,MileMitra,AW682400036,Net Banking,Paid,302001,Jaipur,Rajasthan,25/06/26 19:22
1,SAJ-2606-10035,TRUE,,18/06/26,CUS-0142,CUS-0142,Sana Mehta,sana.mehta42@example.com,JAR-3P-CL,Glass Spice Jar Trio,1,INR 1199,1199,1.25,20/06/26,06/25/2026,Fulfilled,Delivered,DakTrail,DakTrail,AW682400037,COD,Collected,122001,Gurugram,Haryana,25/06/26 17:06
1,SAJ-2606-10036,TRUE,,22/06/26,CUS-0162,CUS-0162,Pooja Sinha,pooja.sinha62@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,INR 1899.00,1.1,24/06/26,28/06/26,Fulfilled,Delivered,DakTrail,DakTrail,AW682400017,UPI,Paid,452001,Indore,Madhya Pradesh,28/06/26 11:48
1,SAJ-2606-10037,FALSE,18/06/26,06/18/2026,CUS-0159,CUS-0159,Arjun Bhat,arjun.bhat59@example.com,MAT-YG-ST,Yoga Mat Stone,2,1499,2998,1700,19/06/26,24/06/26,Fulfilled,Delivered,MileMitra,MileMitra,AW682400038,NetBanking,Paid,700001, Kolkata  ,west bengal,24/06/26 11:48
1,SAJ-2606-10038,TRUE,,26/06/26,CUS-0104,CUS-0104,Meera Nair,meera.nair4@example.com,LCH-900-IV,Lunch Box 900ml,3,899,2697,1.92,TBD,01/01/00,Processing,Not Shipped,ParcelNest,ParcelNest,NULL,COD,Pending,411001,Puna,Maharashtra,30/06/26 14:35
1,SAJ-2606-10039,TRUE,,17/06/26,CUS-0121,CUS-0121,Varun Khanna,varun.khanna21@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,1899,1.1,19/06/26,06/24/2026,Fulfilled,Delivered,RouteKart,RouteKart,AW682400040,Card,Paid,160017,Chandigarh,Chandigarh,24/06/26 11:48
1,SAJ-2606-10040,TRUE,,19/06/26,CUS-0138,CUS-0138,Pooja Patil,pooja.patil38@example.com,TWL-2P-NT,Cotton Hand Towel Pair,2,449,898,0.56,20/06/26,23/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400041,COD,Collected,500001,Hyderabad,Telangana,23/06/26 19:22
1,SAJ-2606-10041,TRUE,,20/06/26,CUS-0155,CUS-0155,Rohan Kapoor,rohan.kapoor55@example.com,MUG-2P-SD,Ceramic Mug Pair,2,699,1398,1.84,24/06/26,22/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400042,Net Banking,Paid,682001,Kochi,Kerala,25/06/26 11:20
1,SAJ-2606-10042,FALSE,18/06/26,06/18/2026,CUS-0172,CUS-0172,Mitali Jain,mitali.jain72@example.com,FLK-500-CL,Travel Flask 500ml,1,1099,1099,560,06/20/2026,22/06/26,Fulfilled,Delivered,MileMitra,Mile Mitra,AW682400043,Card,Paid,400001,MUMBAI,Maharashtra,22/06/26 14:35
1,SAJ-2606-10043,TRUE,,19/06/26,CUS-0117,CUS-0117,Neel Shah,neel.shah17@example.com,CND-180-AM,Amber Candle 180g,2,649,1298,0.9,06/21/2026,NULL,Returned,RTO,ParcelNest,ParcelNest,AW682400044,COD,Pending,560001,Bengaluru,Karnataka,27/06/26 9:12
1,SAJ-2606-10044,TRUE,,22/06/26,CUS-0134,CUS-0134,Nisha Naik,nisha.naik34@example.com,TRAY-BMB-M,Bamboo Serving Tray,2,999,1998,1.44,TBD,01/01/00,Cancelled,Not Shipped,DakTrail,DakTrail,NULL,COD,Pending,380001,Ahmedabad,Gujarat,30/06/26 11:48
1,SAJ-2606-10045,TRUE,,24/06/26,CUS-0151,cus-0151,Kabir Menon,kabir.menon51@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,1899,1.1,26/06/26,-,Shipped,IN TRANSIT,ParcelNest,ParcelNest,AW682400046,UPI,Paid,641001,Coimbatore,tamil nadu,27/06/26 18:20
2,SAJ-2606-10046,FALSE,18/06/26,06/18/2026,CUS-0168,CUS-0168,Ira Nair,ira.nair68@example.com,MAT-YG-ST,Yoga Mat Stone,1,1499,1499,0.85,NULL,,Cancelled,Not Shipped,DakTrail,DakTrail,,UPI,Refunded,411001,Pune,Maharashtra,26/06/26 19:22
2,SAJ-2606-10046,TRUE,,26/06/26,CUS-0113,CUS-0113,Aditya Bhat,aditya.bhat13@example.com,BED-QN-SG,Queen Bedsheet Sage,2,1899,3798,2200,-,NULL,Processing,Not Shipped,ParcelNest,ParcelNest,N/A,Net Banking,Paid,600001, Chennai  ,Tamil Nadu,30/06/26 14:35
1,SAJ-2606-10047,TRUE,,16/06/26,CUS-0130,CUS-0130,Ananya Sethi,ananya.sethi30@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,1899,1.1,18/06/26,06/23/2026,Fulfilled,Delivered,ParcelNest,ParcelNest,AW682400049,UPI,Paid,452001,Indore,Madhya Pradesh,23/06/26 17:06
1,SAJ-2606-10048,TRUE,,19/06/26,CUS-0147,CUS-0147,Ritvik Mishra,ritvik.mishra47@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,INR 1899.00,1.1,20/06/26,24/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400050,COD,Collected,110001,New Delhi,Delhi,24/06/26 11:48
1,SAJ-2606-10049,FALSE,17/06/26,06/17/2026,CUS-0164,CUS-0164,Riya Saxena,riya.saxena64@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,1899,1.1,18/06/26,22/06/26,Fulfilled,Delivered,MileMitra,MileMitra,AW682400051,COD,Collected,226001,Lucknow,Uttar Pradesh,22/06/26 11:48
1,SAJ-2606-10050,FALSE,14/06/26,06/14/2026,CUS-0109,CUS-0109, VIVAAN KAPOOR ,-,LCH-900-IV,Lunch Box 900ml,1,899,899,0.64,06/16/2026,18/06/26,Fulfilled,Delivered,DakTrail,DakTrail,AW682400052,UPI,Paid,302001,JAIPUR,Rajasthan,18/06/26 19:22
1,SAJ-2606-10051,TRUE,,19/06/26,CUS-0126,CUS-0126,Diya Khanna,diya.khanna26@example.com,TRAY-BMB-M,Bamboo Serving Tray,2,999,"₹1,998 ",1440,06/20/2026,06/25/2026,Fulfilled,Delivered,ParcelNest,ParcelNest,AW682400053,UPI,Paid,122001,Gurugram,Haryana,25/06/26 9:12
1,SAJ-2606-10052,TRUE,,20/06/26,CUS-0143,CUS-0143,Kunal Das,kunal.das43@example.com,TRAY-BMB-M,Bamboo Serving Tray,2,999,1998,1.44,22/06/26,06/26/2026,Fulfilled,Delivered,MileMitra,MileMitra,AW682400054,Card,Paid,700001,Kolkata,west bengal,26/06/26 14:35
1,SAJ-2606-10053,TRUE,,23/06/26,CUS-0160,CUS-0160,Tara Rao,tara.rao60@example.com,BTL-750-SG,Steel Bottle 750ml,2,INR 799,1598,0.84,24/06/26,26/06/26,Fulfilled,Delivered,DakTrail,DakTrail,AW682400055,UPI,Paid,751001,Bhubaneswar,Odisha,26/06/26 9:12
1,SAJ-2606-10054,FALSE,20/06/26,06/20/2026,CUS-0171,CUS-0171,Ritvik Sethi,ritvik.sethi71@example.com,PCH-TRV-BL,Travel Pouch Blue,3,399,1197,0.54,22/06/26,25/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400026,Net Banking,paid ,682001,Kochi,Kerala,25/06/26 11:48
1,SAJ-2606-10055,TRUE,,19/06/26,CUS-0105,CUS-0105,Ishaan Menon,ishaan.menon5@example.com,BAG-CNV-OL,Canvas Tote Olive,1,549,549,0.24,06/21/2026,26/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400056,Net Banking,Paid,160017,Chandigarh,Chandigarh,26/06/26 17:06
1,SAJ-2606-10056,TRUE,,28/06/26,CUS-0122,CUS-0122,Aditi Nair,aditi.nair22@example.com,BTL-750-SG,Steel Bottle 750ml,1,799,799,420,30/06/26,N/A,Shipped,OFD,ParcelNest,Parcel Nest,AW682400057,Cash on Delivery,Pending,500001, Hyderabad  ,Telangana,30/06/26 19:22
1,SAJ-2606-10057,TRUE,,27/06/26,CUS-0139,CUS-0139,Dev Sinha,dev.sinha39@example.com,BED-QN-SG,Queen Bedsheet Sage,2,1899,3798,2.2,N/A,,Processing,Not Shipped,DakTrail,DakTrail,TBD,Card,Paid,682001,Kochii,Kerala,30/06/26 19:22
2,SAJ-2606-10058,FALSE,13/06/26,06/13/2026,CUS-0156,CUS-0156,Kavya Bose, KAVYA.BOSE56@EXAMPLE.COM ,CND-180-AM,Amber Candle 180g,3,649,1947,1.35,14/06/26,17/06/26,Fulfilled,Delivered,MileMitra,MileMitra,AW682400059,UPI,Paid,400001,Mumbai,Maharashtra,17/06/26 9:12
2,SAJ-2606-10058,FALSE,22/06/26,06/22/2026,CUS-0101,CUS-0101,Aarav Mehta,aarav.mehta1@example.com,TWL-2P-NT,Cotton Hand Towel Pair,1,449,449,0.28,NULL,01/01/00,Cancelled,Not Shipped,ParcelNest,ParcelNest,-,COD,Pending,560001,BENGALURU,Karnataka,30/06/26 11:48
1,SAJ-2606-10059,TRUE,,19/06/26,CUS-0118,cus-0118,Sana Saxena,sana.saxena18@example.com,BED-QN-SG,Queen Bedsheet Sage,3,1899,5697,3.3,06/20/2026,06/24/2026,Fulfilled,Delivered,RouteKart,RouteKart,AW682400061,Card,Paid,380001,Ahmedabad,gujarat,24/06/26 14:35
1,SAJ-2606-10060,TRUE,,22/06/26,CUS-0135,CUS-0135,Arjun Iyer,arjun.iyer35@example.com,BAG-CNV-OL,Canvas Tote Olive,1,549,INR 549.00,240,23/06/26,06/27/2026,Fulfilled,Delivered,DakTrail,DakTrail,AW682400062,UPI,Paid,641001,Coimbatore,Tamil Nadu,27/06/26 11:48
1,SAJ-2606-10061,TRUE,,21/06/26,CUS-0152,CUS-0152,Meera Mishra,meera.mishra52@example.com,cnd-180-am ,Amber Candle 180g,2,649,"₹1,298 ",900,23/06/26,26/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400063,UPI,Paid,411001,Pune,Maharashtra,26/06/26 17:06
1,SAJ-2606-10062,FALSE,16/06/26,06/16/2026,CUS-0169,CUS-0169,Varun Menon,varun.menon69@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,1899,1.1,17/06/26,19/06/26,Fulfilled,Delivered,DakTrail,DakTrail,AW682400064,Net Banking,Paid,160017,"Chandigarh,Chandigarh",TBD,19/06/26 14:35
1,SAJ-2606-10063,TRUE,,20/06/26,CUS-0114,CUS-0114,Pooja Rao,pooja.rao14@example.com,MAT-YG-ST,Yoga Mat Stone,1,1499,1499,0.85,06/22/2026,25/06/26,Fulfilled,Delivered,RouteKart,RouteKart,AW682400065,UPI,Paid,452001,Indore,Madhya Pradesh,25/06/26 19:22
1,SAJ-2606-10064,TRUE,,26/06/26,CUS-0131,CUS-0131,Rohan Jain,rohan.jain31@example.com,LCH-900-IV,Lunch Box 900ml,3,899,2697,1.92,N/A,01/01/00,Processing,Not Shipped,RouteKart,RouteKart,TBD,UPI,Paid,110001,New Delhi,Delhi,30/06/26 19:22
1,SAJ-2606-10065,TRUE,,15/06/26,CUS-0148,CUS-0148,Mitali Sethi,mitali.sethi48@example.com,BTL-750-SG,Steel Bottle 750ml,1,799,799,420,16/06/26,21/06/26,Fulfilled,Delivered,MileMitra,MileMitra,AW682400067,UPI,Paid,226001, Lucknow  ,Uttar Pradesh,21/06/26 17:06
1,SAJ-2606-10066,FALSE,20/06/26,06/20/2026,CUS-0165,CUS-0165,Neel Mehta,neel.mehta65@example.com,TRAY-BMB-M,Bamboo Serving Tray,1,999,999,0.72,21/06/26,26/06/26,Fulfilled,Delivered,MileMitra,MileMitra,AW682400068,COD,Collected,560001,Bengaluru,Karnataka,26/06/26 14:35
1,SAJ-2606-10067,FALSE,28/06/26,06/28/2026,CUS-0110,CUS-0110, NISHA BOSE ,nisha.bose10@example.com,MAT-YG-ST,Yoga Mat Stone,1,1499,1499,0.85,TBD,-,Processing,Not shipped,RouteKart,RouteKart,N/A,UPI,Paid,122001,GURUGRAM,haryana,30/06/26 19:22
1,SAJ-2606-10068,TRUE,,27/06/26,CUS-0127,CUS-0998,Tara Iyer,ishaan.mishra29@example.com,TRAY-BMB-M,Bamboo Serving Tray,3,999,2997,2.16,28/06/26,,Shipped,Out for Delivery,ParcelNest,ParcelNest,AW682400070,Card,Paid,700001,Kolkata,West Bengal,30/06/26 14:35
1,SAJ-2606-10069,TRUE,,15/06/26,CUS-0144,CUS-0144,Ira Khanna,ira.khanna44@example.com,BTL-750-SG,Steel Bottle 750ml,1,799,799,0.42,16/06/26,06/21/2026,Fulfilled,Delivered,DakTrail,DakTrail,AW682400071,COD,Collected,751001,Bhubaneswar,Odisha,21/06/26 14:35
1,SAJ-2606-10070,TRUE,,23/06/26,CUS-0161,CUS-0161,Aditya Patil,aditya.patil61@example.com,LCH-900-IV,Lunch Box 900ml,1,899,899,640,24/06/26,27/06/26,Fulfilled,Delivered,MileMitra,Mile Mitra,AW682400072,COD,Collected,600001,Chennai,Tamil Nadu,27/06/26 14:35
1,SAJ-2606-10071,FALSE,14/06/26,06/14/2026,CUS-0106,CUS-0106,Ananya Mishra,ananya.mishra6@example.com,FLK-500-CL,Travel Flask 500ml,1,INR 1099,1099,0.56,16/06/26,21/06/26,Fulfilled,Delivered,DakTrail,DakTrail,AW682400073,Net Banking,Paid,500001,Hyderabad,Telangana,21/06/26 19:22
1,SAJ-2606-10072,TRUE,,24/06/26,CUS-0151,CUS-0151,Kabir Menon,kabir.menon51@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,1899,1100,06/26/2026,29/06/26,Shipped,Delivered,ParcelNest,ParcelNest,AW682400046,UPI,Paid,641001,Coimbatore,Tamil Nadu,30/06/26 10:40
1,SAJ-2606-10073,TRUE,,28/06/26,CUS-0123,CUS-0123,Ritvik Menon,ritvik.menon23@example.com,MAT-YG-ST,Yoga Mat Stone,1,1499,INR 1499.00,0.85,-,N/A,Processing,Not Shipped,ParcelNest,ParcelNest,N/A,COD,Pending,682001,Kochi,Kerala,30/06/26 17:06
1,SAJ-2606-10074,TRUE,,26/06/26,CUS-0140,CUS-0140,Riya Shah,riya.shah40@example.com,BTL-750-SG,Steel Bottle 750ml,2,799,1598,0.84,28/06/26,-,Shipped,Out for Delivery,DakTrail,DakTrail,AW682400075,UPI,Paid,400001,Mumbai,Maharashtra,30/06/26 9:12
1,SAJ-2606-10075,FALSE,13/06/26,06/13/2026,CUS-0157,cus-0157,Vivaan Naik,vivaan.naik57@example.com,MUG-2P-SD,Ceramic Mug Pair,1,699,699,920,-,-,Cancelled,Not Shipped,DakTrail,DakTrail,-,upi,Refunded,302001, Jaipur  ,rajasthan,21/06/26 19:22
